"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Female","Student Enrollment","Number","46"
"Achievement First Bridgeport Academy District","","2007-2008","Male","Student Enrollment","Number","39"
"Achievement First Bridgeport Academy District","","2008-2009","Female","Student Enrollment","Number","89"
"Achievement First Bridgeport Academy District","","2008-2009","Male","Student Enrollment","Number","71"
"Achievement First Bridgeport Academy District","","2009-2010","Female","Student Enrollment","Number","125"
"Achievement First Bridgeport Academy District","","2009-2010","Male","Student Enrollment","Number","113"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Student Enrollment","Number","198"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Student Enrollment","Number","211"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Student Enrollment","Number","256"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Student Enrollment","Number","287"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Student Enrollment","Number","347"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Student Enrollment","Number","355"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Student Enrollment","Number","420"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Student Enrollment","Number","415"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Student Enrollment","Number","484"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Student Enrollment","Number","493"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Student Enrollment","Number","525"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Student Enrollment","Number","491"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Student Enrollment","Number","543"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Student Enrollment","Number","501"
"Achievement First Hartford Academy District","","2007-2008","Female","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Male","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2008-2009","Female","Student Enrollment","Number","115"
"Achievement First Hartford Academy District","","2008-2009","Male","Student Enrollment","Number","146"
"Achievement First Hartford Academy District","","2009-2010","Female","Student Enrollment","Number","199"
"Achievement First Hartford Academy District","","2009-2010","Male","Student Enrollment","Number","241"
"Achievement First Hartford Academy District","","2010-2011","Female","Student Enrollment","Number","271"
"Achievement First Hartford Academy District","","2010-2011","Male","Student Enrollment","Number","339"
"Achievement First Hartford Academy District","","2011-2012","Female","Student Enrollment","Number","350"
"Achievement First Hartford Academy District","","2011-2012","Male","Student Enrollment","Number","412"
"Achievement First Hartford Academy District","","2012-2013","Female","Student Enrollment","Number","385"
"Achievement First Hartford Academy District","","2012-2013","Male","Student Enrollment","Number","439"
"Achievement First Hartford Academy District","","2013-2014","Female","Student Enrollment","Number","415"
"Achievement First Hartford Academy District","","2013-2014","Male","Student Enrollment","Number","455"
"Achievement First Hartford Academy District","","2014-2015","Female","Student Enrollment","Number","466"
"Achievement First Hartford Academy District","","2014-2015","Male","Student Enrollment","Number","488"
"Achievement First Hartford Academy District","","2015-2016","Female","Student Enrollment","Number","543"
"Achievement First Hartford Academy District","","2015-2016","Male","Student Enrollment","Number","520"
"Achievement First Hartford Academy District","","2016-2017","Female","Student Enrollment","Number","560"
"Achievement First Hartford Academy District","","2016-2017","Male","Student Enrollment","Number","506"
"Amistad Academy District","","2007-2008","Female","Student Enrollment","Number","263"
"Amistad Academy District","","2007-2008","Male","Student Enrollment","Number","284"
"Amistad Academy District","","2008-2009","Female","Student Enrollment","Number","312"
"Amistad Academy District","","2008-2009","Male","Student Enrollment","Number","329"
"Amistad Academy District","","2009-2010","Female","Student Enrollment","Number","378"
"Amistad Academy District","","2009-2010","Male","Student Enrollment","Number","366"
"Amistad Academy District","","2010-2011","Female","Student Enrollment","Number","404"
"Amistad Academy District","","2010-2011","Male","Student Enrollment","Number","408"
"Amistad Academy District","","2011-2012","Female","Student Enrollment","Number","425"
"Amistad Academy District","","2011-2012","Male","Student Enrollment","Number","432"
"Amistad Academy District","","2012-2013","Female","Student Enrollment","Number","442"
"Amistad Academy District","","2012-2013","Male","Student Enrollment","Number","462"
"Amistad Academy District","","2013-2014","Female","Student Enrollment","Number","470"
"Amistad Academy District","","2013-2014","Male","Student Enrollment","Number","467"
"Amistad Academy District","","2014-2015","Female","Student Enrollment","Number","499"
"Amistad Academy District","","2014-2015","Male","Student Enrollment","Number","485"
"Amistad Academy District","","2015-2016","Female","Student Enrollment","Number","536"
"Amistad Academy District","","2015-2016","Male","Student Enrollment","Number","500"
"Amistad Academy District","","2016-2017","Female","Student Enrollment","Number","542"
"Amistad Academy District","","2016-2017","Male","Student Enrollment","Number","515"
"Andover School District","","2007-2008","Female","Student Enrollment","Number","151"
"Andover School District","","2007-2008","Male","Student Enrollment","Number","196"
"Andover School District","","2008-2009","Female","Student Enrollment","Number","148"
"Andover School District","","2008-2009","Male","Student Enrollment","Number","186"
"Andover School District","","2009-2010","Female","Student Enrollment","Number","143"
"Andover School District","","2009-2010","Male","Student Enrollment","Number","193"
"Andover School District","","2010-2011","Female","Student Enrollment","Number","143"
"Andover School District","","2010-2011","Male","Student Enrollment","Number","191"
"Andover School District","","2011-2012","Female","Student Enrollment","Number","131"
"Andover School District","","2011-2012","Male","Student Enrollment","Number","183"
"Andover School District","","2012-2013","Female","Student Enrollment","Number","140"
"Andover School District","","2012-2013","Male","Student Enrollment","Number","175"
"Andover School District","","2013-2014","Female","Student Enrollment","Number","140"
"Andover School District","","2013-2014","Male","Student Enrollment","Number","159"
"Andover School District","","2014-2015","Female","Student Enrollment","Number","129"
"Andover School District","","2014-2015","Male","Student Enrollment","Number","146"
"Andover School District","","2015-2016","Female","Student Enrollment","Number","118"
"Andover School District","","2015-2016","Male","Student Enrollment","Number","132"
"Andover School District","","2016-2017","Female","Student Enrollment","Number","98"
"Andover School District","","2016-2017","Male","Student Enrollment","Number","127"
"Ansonia School District","900901220","2007-2008","Female","Student Enrollment","Number","1312"
"Ansonia School District","900901220","2007-2008","Male","Student Enrollment","Number","1431"
"Ansonia School District","900901220","2008-2009","Female","Student Enrollment","Number","1292"
"Ansonia School District","900901220","2008-2009","Male","Student Enrollment","Number","1430"
"Ansonia School District","900901220","2009-2010","Female","Student Enrollment","Number","1307"
"Ansonia School District","900901220","2009-2010","Male","Student Enrollment","Number","1431"
"Ansonia School District","900901220","2010-2011","Female","Student Enrollment","Number","1246"
"Ansonia School District","900901220","2010-2011","Male","Student Enrollment","Number","1381"
"Ansonia School District","900901220","2011-2012","Female","Student Enrollment","Number","1215"
"Ansonia School District","900901220","2011-2012","Male","Student Enrollment","Number","1311"
"Ansonia School District","900901220","2012-2013","Female","Student Enrollment","Number","1163"
"Ansonia School District","900901220","2012-2013","Male","Student Enrollment","Number","1262"
"Ansonia School District","900901220","2013-2014","Female","Student Enrollment","Number","1094"
"Ansonia School District","900901220","2013-2014","Male","Student Enrollment","Number","1244"
"Ansonia School District","900901220","2014-2015","Female","Student Enrollment","Number","1139"
"Ansonia School District","900901220","2014-2015","Male","Student Enrollment","Number","1276"
"Ansonia School District","900901220","2015-2016","Female","Student Enrollment","Number","1122"
"Ansonia School District","900901220","2015-2016","Male","Student Enrollment","Number","1260"
"Ansonia School District","900901220","2016-2017","Female","Student Enrollment","Number","1114"
"Ansonia School District","900901220","2016-2017","Male","Student Enrollment","Number","1250"
"Area Cooperative Educational Services","","2007-2008","Female","Student Enrollment","Number","872"
"Area Cooperative Educational Services","","2007-2008","Male","Student Enrollment","Number","1226"
"Area Cooperative Educational Services","","2008-2009","Female","Student Enrollment","Number","880"
"Area Cooperative Educational Services","","2008-2009","Male","Student Enrollment","Number","1218"
"Area Cooperative Educational Services","","2009-2010","Female","Student Enrollment","Number","871"
"Area Cooperative Educational Services","","2009-2010","Male","Student Enrollment","Number","1205"
"Area Cooperative Educational Services","","2010-2011","Female","Student Enrollment","Number","805"
"Area Cooperative Educational Services","","2010-2011","Male","Student Enrollment","Number","1186"
"Area Cooperative Educational Services","","2011-2012","Female","Student Enrollment","Number","797"
"Area Cooperative Educational Services","","2011-2012","Male","Student Enrollment","Number","1158"
"Area Cooperative Educational Services","","2012-2013","Female","Student Enrollment","Number","804"
"Area Cooperative Educational Services","","2012-2013","Male","Student Enrollment","Number","1128"
"Area Cooperative Educational Services","","2013-2014","Female","Student Enrollment","Number","796"
"Area Cooperative Educational Services","","2013-2014","Male","Student Enrollment","Number","1137"
"Area Cooperative Educational Services","","2014-2015","Female","Student Enrollment","Number","808"
"Area Cooperative Educational Services","","2014-2015","Male","Student Enrollment","Number","1131"
"Area Cooperative Educational Services","","2015-2016","Female","Student Enrollment","Number","809"
"Area Cooperative Educational Services","","2015-2016","Male","Student Enrollment","Number","1139"
"Area Cooperative Educational Services","","2016-2017","Female","Student Enrollment","Number","825"
"Area Cooperative Educational Services","","2016-2017","Male","Student Enrollment","Number","1122"
"Ashford School District","","2007-2008","Female","Student Enrollment","Number","234"
"Ashford School District","","2007-2008","Male","Student Enrollment","Number","271"
"Ashford School District","","2008-2009","Female","Student Enrollment","Number","224"
"Ashford School District","","2008-2009","Male","Student Enrollment","Number","264"
"Ashford School District","","2009-2010","Female","Student Enrollment","Number","219"
"Ashford School District","","2009-2010","Male","Student Enrollment","Number","259"
"Ashford School District","","2010-2011","Female","Student Enrollment","Number","226"
"Ashford School District","","2010-2011","Male","Student Enrollment","Number","253"
"Ashford School District","","2011-2012","Female","Student Enrollment","Number","239"
"Ashford School District","","2011-2012","Male","Student Enrollment","Number","242"
"Ashford School District","","2012-2013","Female","Student Enrollment","Number","211"
"Ashford School District","","2012-2013","Male","Student Enrollment","Number","229"
"Ashford School District","","2013-2014","Female","Student Enrollment","Number","205"
"Ashford School District","","2013-2014","Male","Student Enrollment","Number","219"
"Ashford School District","","2014-2015","Female","Student Enrollment","Number","204"
"Ashford School District","","2014-2015","Male","Student Enrollment","Number","213"
"Ashford School District","","2015-2016","Female","Student Enrollment","Number","194"
"Ashford School District","","2015-2016","Male","Student Enrollment","Number","206"
"Ashford School District","","2016-2017","Female","Student Enrollment","Number","198"
"Ashford School District","","2016-2017","Male","Student Enrollment","Number","209"
"Avon School District","900302060","2007-2008","Female","Student Enrollment","Number","1787"
"Avon School District","900302060","2007-2008","Male","Student Enrollment","Number","1825"
"Avon School District","900302060","2008-2009","Female","Student Enrollment","Number","1751"
"Avon School District","900302060","2008-2009","Male","Student Enrollment","Number","1818"
"Avon School District","900302060","2009-2010","Female","Student Enrollment","Number","1781"
"Avon School District","900302060","2009-2010","Male","Student Enrollment","Number","1817"
"Avon School District","900302060","2010-2011","Female","Student Enrollment","Number","1778"
"Avon School District","900302060","2010-2011","Male","Student Enrollment","Number","1786"
"Avon School District","900302060","2011-2012","Female","Student Enrollment","Number","1731"
"Avon School District","900302060","2011-2012","Male","Student Enrollment","Number","1787"
"Avon School District","900302060","2012-2013","Female","Student Enrollment","Number","1705"
"Avon School District","900302060","2012-2013","Male","Student Enrollment","Number","1716"
"Avon School District","900302060","2013-2014","Female","Student Enrollment","Number","1704"
"Avon School District","900302060","2013-2014","Male","Student Enrollment","Number","1683"
"Avon School District","900302060","2014-2015","Female","Student Enrollment","Number","1660"
"Avon School District","900302060","2014-2015","Male","Student Enrollment","Number","1672"
"Avon School District","900302060","2015-2016","Female","Student Enrollment","Number","1620"
"Avon School District","900302060","2015-2016","Male","Student Enrollment","Number","1665"
"Avon School District","900302060","2016-2017","Female","Student Enrollment","Number","1641"
"Avon School District","900302060","2016-2017","Male","Student Enrollment","Number","1647"
"Barkhamsted School District","","2007-2008","Female","Student Enrollment","Number","158"
"Barkhamsted School District","","2007-2008","Male","Student Enrollment","Number","200"
"Barkhamsted School District","","2008-2009","Female","Student Enrollment","Number","154"
"Barkhamsted School District","","2008-2009","Male","Student Enrollment","Number","208"
"Barkhamsted School District","","2009-2010","Female","Student Enrollment","Number","151"
"Barkhamsted School District","","2009-2010","Male","Student Enrollment","Number","216"
"Barkhamsted School District","","2010-2011","Female","Student Enrollment","Number","161"
"Barkhamsted School District","","2010-2011","Male","Student Enrollment","Number","212"
"Barkhamsted School District","","2011-2012","Female","Student Enrollment","Number","157"
"Barkhamsted School District","","2011-2012","Male","Student Enrollment","Number","200"
"Barkhamsted School District","","2012-2013","Female","Student Enrollment","Number","151"
"Barkhamsted School District","","2012-2013","Male","Student Enrollment","Number","198"
"Barkhamsted School District","","2013-2014","Female","Student Enrollment","Number","135"
"Barkhamsted School District","","2013-2014","Male","Student Enrollment","Number","172"
"Barkhamsted School District","","2014-2015","Female","Student Enrollment","Number","145"
"Barkhamsted School District","","2014-2015","Male","Student Enrollment","Number","172"
"Barkhamsted School District","","2015-2016","Female","Student Enrollment","Number","143"
"Barkhamsted School District","","2015-2016","Male","Student Enrollment","Number","143"
"Barkhamsted School District","","2016-2017","Female","Student Enrollment","Number","129"
"Barkhamsted School District","","2016-2017","Male","Student Enrollment","Number","126"
"Berlin School District","","2007-2008","Female","Student Enrollment","Number","1528"
"Berlin School District","","2007-2008","Male","Student Enrollment","Number","1747"
"Berlin School District","","2008-2009","Female","Student Enrollment","Number","1524"
"Berlin School District","","2008-2009","Male","Student Enrollment","Number","1699"
"Berlin School District","","2009-2010","Female","Student Enrollment","Number","1491"
"Berlin School District","","2009-2010","Male","Student Enrollment","Number","1678"
"Berlin School District","","2010-2011","Female","Student Enrollment","Number","1480"
"Berlin School District","","2010-2011","Male","Student Enrollment","Number","1649"
"Berlin School District","","2011-2012","Female","Student Enrollment","Number","1434"
"Berlin School District","","2011-2012","Male","Student Enrollment","Number","1593"
"Berlin School District","","2012-2013","Female","Student Enrollment","Number","1391"
"Berlin School District","","2012-2013","Male","Student Enrollment","Number","1594"
"Berlin School District","","2013-2014","Female","Student Enrollment","Number","1369"
"Berlin School District","","2013-2014","Male","Student Enrollment","Number","1594"
"Berlin School District","","2014-2015","Female","Student Enrollment","Number","1347"
"Berlin School District","","2014-2015","Male","Student Enrollment","Number","1562"
"Berlin School District","","2015-2016","Female","Student Enrollment","Number","1349"
"Berlin School District","","2015-2016","Male","Student Enrollment","Number","1530"
"Berlin School District","","2016-2017","Female","Student Enrollment","Number","1327"
"Berlin School District","","2016-2017","Male","Student Enrollment","Number","1478"
"Bethany School District","","2007-2008","Female","Student Enrollment","Number","269"
"Bethany School District","","2007-2008","Male","Student Enrollment","Number","301"
"Bethany School District","","2008-2009","Female","Student Enrollment","Number","263"
"Bethany School District","","2008-2009","Male","Student Enrollment","Number","288"
"Bethany School District","","2009-2010","Female","Student Enrollment","Number","239"
"Bethany School District","","2009-2010","Male","Student Enrollment","Number","277"
"Bethany School District","","2010-2011","Female","Student Enrollment","Number","241"
"Bethany School District","","2010-2011","Male","Student Enrollment","Number","273"
"Bethany School District","","2011-2012","Female","Student Enrollment","Number","241"
"Bethany School District","","2011-2012","Male","Student Enrollment","Number","251"
"Bethany School District","","2012-2013","Female","Student Enrollment","Number","223"
"Bethany School District","","2012-2013","Male","Student Enrollment","Number","250"
"Bethany School District","","2013-2014","Female","Student Enrollment","Number","199"
"Bethany School District","","2013-2014","Male","Student Enrollment","Number","237"
"Bethany School District","","2014-2015","Female","Student Enrollment","Number","187"
"Bethany School District","","2014-2015","Male","Student Enrollment","Number","220"
"Bethany School District","","2015-2016","Female","Student Enrollment","Number","191"
"Bethany School District","","2015-2016","Male","Student Enrollment","Number","192"
"Bethany School District","","2016-2017","Female","Student Enrollment","Number","180"
"Bethany School District","","2016-2017","Male","Student Enrollment","Number","176"
"Bethel School District","900104720","2007-2008","Female","Student Enrollment","Number","1539"
"Bethel School District","900104720","2007-2008","Male","Student Enrollment","Number","1618"
"Bethel School District","900104720","2008-2009","Female","Student Enrollment","Number","1522"
"Bethel School District","900104720","2008-2009","Male","Student Enrollment","Number","1565"
"Bethel School District","900104720","2009-2010","Female","Student Enrollment","Number","1492"
"Bethel School District","900104720","2009-2010","Male","Student Enrollment","Number","1561"
"Bethel School District","900104720","2010-2011","Female","Student Enrollment","Number","1436"
"Bethel School District","900104720","2010-2011","Male","Student Enrollment","Number","1513"
"Bethel School District","900104720","2011-2012","Female","Student Enrollment","Number","1435"
"Bethel School District","900104720","2011-2012","Male","Student Enrollment","Number","1547"
"Bethel School District","900104720","2012-2013","Female","Student Enrollment","Number","1438"
"Bethel School District","900104720","2012-2013","Male","Student Enrollment","Number","1549"
"Bethel School District","900104720","2013-2014","Female","Student Enrollment","Number","1437"
"Bethel School District","900104720","2013-2014","Male","Student Enrollment","Number","1563"
"Bethel School District","900104720","2014-2015","Female","Student Enrollment","Number","1399"
"Bethel School District","900104720","2014-2015","Male","Student Enrollment","Number","1540"
"Bethel School District","900104720","2015-2016","Female","Student Enrollment","Number","1391"
"Bethel School District","900104720","2015-2016","Male","Student Enrollment","Number","1580"
"Bethel School District","900104720","2016-2017","Female","Student Enrollment","Number","1399"
"Bethel School District","900104720","2016-2017","Male","Student Enrollment","Number","1597"
"Bloomfield School District","900305910","2007-2008","Female","Student Enrollment","Number","1077"
"Bloomfield School District","900305910","2007-2008","Male","Student Enrollment","Number","1163"
"Bloomfield School District","900305910","2008-2009","Female","Student Enrollment","Number","1017"
"Bloomfield School District","900305910","2008-2009","Male","Student Enrollment","Number","1164"
"Bloomfield School District","900305910","2009-2010","Female","Student Enrollment","Number","1080"
"Bloomfield School District","900305910","2009-2010","Male","Student Enrollment","Number","1218"
"Bloomfield School District","900305910","2010-2011","Female","Student Enrollment","Number","1052"
"Bloomfield School District","900305910","2010-2011","Male","Student Enrollment","Number","1155"
"Bloomfield School District","900305910","2011-2012","Female","Student Enrollment","Number","1047"
"Bloomfield School District","900305910","2011-2012","Male","Student Enrollment","Number","1117"
"Bloomfield School District","900305910","2012-2013","Female","Student Enrollment","Number","1033"
"Bloomfield School District","900305910","2012-2013","Male","Student Enrollment","Number","1086"
"Bloomfield School District","900305910","2013-2014","Female","Student Enrollment","Number","1030"
"Bloomfield School District","900305910","2013-2014","Male","Student Enrollment","Number","1066"
"Bloomfield School District","900305910","2014-2015","Female","Student Enrollment","Number","1028"
"Bloomfield School District","900305910","2014-2015","Male","Student Enrollment","Number","1087"
"Bloomfield School District","900305910","2015-2016","Female","Student Enrollment","Number","1004"
"Bloomfield School District","900305910","2015-2016","Male","Student Enrollment","Number","1074"
"Bloomfield School District","900305910","2016-2017","Female","Student Enrollment","Number","1055"
"Bloomfield School District","900305910","2016-2017","Male","Student Enrollment","Number","1102"
"Bolton School District","901306260","2007-2008","Female","Student Enrollment","Number","445"
"Bolton School District","901306260","2007-2008","Male","Student Enrollment","Number","431"
"Bolton School District","901306260","2008-2009","Female","Student Enrollment","Number","440"
"Bolton School District","901306260","2008-2009","Male","Student Enrollment","Number","429"
"Bolton School District","901306260","2009-2010","Female","Student Enrollment","Number","462"
"Bolton School District","901306260","2009-2010","Male","Student Enrollment","Number","426"
"Bolton School District","901306260","2010-2011","Female","Student Enrollment","Number","468"
"Bolton School District","901306260","2010-2011","Male","Student Enrollment","Number","436"
"Bolton School District","901306260","2011-2012","Female","Student Enrollment","Number","454"
"Bolton School District","901306260","2011-2012","Male","Student Enrollment","Number","443"
"Bolton School District","901306260","2012-2013","Female","Student Enrollment","Number","445"
"Bolton School District","901306260","2012-2013","Male","Student Enrollment","Number","452"
"Bolton School District","901306260","2013-2014","Female","Student Enrollment","Number","430"
"Bolton School District","901306260","2013-2014","Male","Student Enrollment","Number","439"
"Bolton School District","901306260","2014-2015","Female","Student Enrollment","Number","417"
"Bolton School District","901306260","2014-2015","Male","Student Enrollment","Number","430"
"Bolton School District","901306260","2015-2016","Female","Student Enrollment","Number","416"
"Bolton School District","901306260","2015-2016","Male","Student Enrollment","Number","404"
"Bolton School District","901306260","2016-2017","Female","Student Enrollment","Number","427"
"Bolton School District","901306260","2016-2017","Male","Student Enrollment","Number","393"
"Booker T Washington Academy District","","2007-2008","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2007-2008","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2008-2009","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2008-2009","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2009-2010","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2009-2010","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2010-2011","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2010-2011","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2011-2012","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2011-2012","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2012-2013","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2012-2013","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2013-2014","Female","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2013-2014","Male","Student Enrollment","Number","-6666"
"Booker T Washington Academy District","","2014-2015","Female","Student Enrollment","Number","38"
"Booker T Washington Academy District","","2014-2015","Male","Student Enrollment","Number","53"
"Booker T Washington Academy District","","2015-2016","Female","Student Enrollment","Number","81"
"Booker T Washington Academy District","","2015-2016","Male","Student Enrollment","Number","99"
"Booker T Washington Academy District","","2016-2017","Female","Student Enrollment","Number","103"
"Booker T Washington Academy District","","2016-2017","Male","Student Enrollment","Number","138"
"Bozrah School District","","2007-2008","Female","Student Enrollment","Number","146"
"Bozrah School District","","2007-2008","Male","Student Enrollment","Number","123"
"Bozrah School District","","2008-2009","Female","Student Enrollment","Number","137"
"Bozrah School District","","2008-2009","Male","Student Enrollment","Number","124"
"Bozrah School District","","2009-2010","Female","Student Enrollment","Number","139"
"Bozrah School District","","2009-2010","Male","Student Enrollment","Number","119"
"Bozrah School District","","2010-2011","Female","Student Enrollment","Number","124"
"Bozrah School District","","2010-2011","Male","Student Enrollment","Number","112"
"Bozrah School District","","2011-2012","Female","Student Enrollment","Number","122"
"Bozrah School District","","2011-2012","Male","Student Enrollment","Number","114"
"Bozrah School District","","2012-2013","Female","Student Enrollment","Number","125"
"Bozrah School District","","2012-2013","Male","Student Enrollment","Number","118"
"Bozrah School District","","2013-2014","Female","Student Enrollment","Number","119"
"Bozrah School District","","2013-2014","Male","Student Enrollment","Number","125"
"Bozrah School District","","2014-2015","Female","Student Enrollment","Number","104"
"Bozrah School District","","2014-2015","Male","Student Enrollment","Number","107"
"Bozrah School District","","2015-2016","Female","Student Enrollment","Number","97"
"Bozrah School District","","2015-2016","Male","Student Enrollment","Number","105"
"Bozrah School District","","2016-2017","Female","Student Enrollment","Number","97"
"Bozrah School District","","2016-2017","Male","Student Enrollment","Number","111"
"Branford School District","900907310","2007-2008","Female","Student Enrollment","Number","1733"
"Branford School District","900907310","2007-2008","Male","Student Enrollment","Number","1781"
"Branford School District","900907310","2008-2009","Female","Student Enrollment","Number","1741"
"Branford School District","900907310","2008-2009","Male","Student Enrollment","Number","1774"
"Branford School District","900907310","2009-2010","Female","Student Enrollment","Number","1760"
"Branford School District","900907310","2009-2010","Male","Student Enrollment","Number","1774"
"Branford School District","900907310","2010-2011","Female","Student Enrollment","Number","1707"
"Branford School District","900907310","2010-2011","Male","Student Enrollment","Number","1738"
"Branford School District","900907310","2011-2012","Female","Student Enrollment","Number","1654"
"Branford School District","900907310","2011-2012","Male","Student Enrollment","Number","1687"
"Branford School District","900907310","2012-2013","Female","Student Enrollment","Number","1615"
"Branford School District","900907310","2012-2013","Male","Student Enrollment","Number","1667"
"Branford School District","900907310","2013-2014","Female","Student Enrollment","Number","1564"
"Branford School District","900907310","2013-2014","Male","Student Enrollment","Number","1681"
"Branford School District","900907310","2014-2015","Female","Student Enrollment","Number","1478"
"Branford School District","900907310","2014-2015","Male","Student Enrollment","Number","1630"
"Branford School District","900907310","2015-2016","Female","Student Enrollment","Number","1467"
"Branford School District","900907310","2015-2016","Male","Student Enrollment","Number","1599"
"Branford School District","900907310","2016-2017","Female","Student Enrollment","Number","1446"
"Branford School District","900907310","2016-2017","Male","Student Enrollment","Number","1537"
"Brass City Charter School District","","2007-2008","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2007-2008","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2008-2009","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2008-2009","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2009-2010","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2009-2010","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2010-2011","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2010-2011","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2011-2012","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2011-2012","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2012-2013","Female","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2012-2013","Male","Student Enrollment","Number","-6666"
"Brass City Charter School District","","2013-2014","Female","Student Enrollment","Number","64"
"Brass City Charter School District","","2013-2014","Male","Student Enrollment","Number","51"
"Brass City Charter School District","","2014-2015","Female","Student Enrollment","Number","91"
"Brass City Charter School District","","2014-2015","Male","Student Enrollment","Number","59"
"Brass City Charter School District","","2015-2016","Female","Student Enrollment","Number","110"
"Brass City Charter School District","","2015-2016","Male","Student Enrollment","Number","76"
"Brass City Charter School District","","2016-2017","Female","Student Enrollment","Number","124"
"Brass City Charter School District","","2016-2017","Male","Student Enrollment","Number","95"
"Bridgeport School District","900108070","2007-2008","Female","Student Enrollment","Number","10126"
"Bridgeport School District","900108070","2007-2008","Male","Student Enrollment","Number","10832"
"Bridgeport School District","900108070","2008-2009","Female","Student Enrollment","Number","9993"
"Bridgeport School District","900108070","2008-2009","Male","Student Enrollment","Number","10603"
"Bridgeport School District","900108070","2009-2010","Female","Student Enrollment","Number","9808"
"Bridgeport School District","900108070","2009-2010","Male","Student Enrollment","Number","10499"
"Bridgeport School District","900108070","2010-2011","Female","Student Enrollment","Number","9900"
"Bridgeport School District","900108070","2010-2011","Male","Student Enrollment","Number","10557"
"Bridgeport School District","900108070","2011-2012","Female","Student Enrollment","Number","9878"
"Bridgeport School District","900108070","2011-2012","Male","Student Enrollment","Number","10489"
"Bridgeport School District","900108070","2012-2013","Female","Student Enrollment","Number","9767"
"Bridgeport School District","900108070","2012-2013","Male","Student Enrollment","Number","10571"
"Bridgeport School District","900108070","2013-2014","Female","Student Enrollment","Number","9987"
"Bridgeport School District","900108070","2013-2014","Male","Student Enrollment","Number","10942"
"Bridgeport School District","900108070","2014-2015","Female","Student Enrollment","Number","10046"
"Bridgeport School District","900108070","2014-2015","Male","Student Enrollment","Number","11198"
"Bridgeport School District","900108070","2015-2016","Female","Student Enrollment","Number","10044"
"Bridgeport School District","900108070","2015-2016","Male","Student Enrollment","Number","11147"
"Bridgeport School District","900108070","2016-2017","Female","Student Enrollment","Number","10082"
"Bridgeport School District","900108070","2016-2017","Male","Student Enrollment","Number","11140"
"Bristol School District","900308490","2007-2008","Female","Student Enrollment","Number","4312"
"Bristol School District","900308490","2007-2008","Male","Student Enrollment","Number","4668"
"Bristol School District","900308490","2008-2009","Female","Student Enrollment","Number","4235"
"Bristol School District","900308490","2008-2009","Male","Student Enrollment","Number","4631"
"Bristol School District","900308490","2009-2010","Female","Student Enrollment","Number","4190"
"Bristol School District","900308490","2009-2010","Male","Student Enrollment","Number","4563"
"Bristol School District","900308490","2010-2011","Female","Student Enrollment","Number","4154"
"Bristol School District","900308490","2010-2011","Male","Student Enrollment","Number","4512"
"Bristol School District","900308490","2011-2012","Female","Student Enrollment","Number","4083"
"Bristol School District","900308490","2011-2012","Male","Student Enrollment","Number","4440"
"Bristol School District","900308490","2012-2013","Female","Student Enrollment","Number","4009"
