"Student Counts by District and Gender"
"All Districts"
"2010-11"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",271,339,610
"Amistad Academy District","=""2790013""",404,408,812
"Andover School District","=""0010011""",143,191,334
"Ansonia School District","=""0020011""",1246,1381,2627
"Area Cooperative Educational Services","=""2440014""",805,1186,1991
"Ashford School District","=""0030011""",226,253,479
"Avon School District","=""0040011""",1778,1786,3564
"Barkhamsted School District","=""0050011""",161,212,373
"Berlin School District","=""0070011""",1480,1649,3129
"Bethany School District","=""0080011""",241,273,514
"Bethel School District","=""0090011""",1436,1513,2949
"Bloomfield School District","=""0110011""",1052,1155,2207
"Bolton School District","=""0120011""",468,436,904
"Bozrah School District","=""0130011""",124,112,236
"Branford School District","=""0140011""",1707,1738,3445
"Bridgeport Achievement First District","=""2850013""",198,211,409
"Bridgeport School District","=""0150011""",9900,10557,20457
"Bristol School District","=""0170011""",4154,4512,8666
"Brookfield School District","=""0180011""",1419,1455,2874
"Brooklyn School District","=""0190011""",460,497,957
"Canaan School District","=""0210011""",45,41,86
"Canterbury School District","=""0220011""",240,288,528
"Canton School District","=""0230011""",884,905,1789
"Capitol Region Education Council","=""2410014""",2284,2362,4646
"Chaplin School District","=""0240011""",94,93,187
"Charter School for Young Children on Asylum Hill District","=""2870013""",118,107,225
"Cheshire School District","=""0250011""",2363,2462,4825
"Chester School District","=""0260011""",147,128,275
"Clinton School District","=""0270011""",1006,1043,2049
"Colchester School District","=""0280011""",1538,1563,3101
"Colebrook School District","=""0290011""",58,54,112
"Columbia School District","=""0300011""",272,273,545
"Common Ground High School District","=""2680013""",80,83,163
"Connecticut Technical High School System","=""9000016""",3940,6703,10643
"Cooperative Educational Services","=""2430014""",310,477,787
"Cornwall School District","=""0310011""",56,59,115
"Coventry School District","=""0320011""",918,926,1844
"Cromwell School District","=""0330011""",978,1054,2032
"Danbury School District","=""0340011""",5213,5481,10694
"Darien School District","=""0350011""",2325,2530,4855
"Deep River School District","=""0360011""",180,174,354
"Department of Mental Health and Addiction Services","=""3370015""","*","*",6
"Derby School District","=""0370011""",710,766,1476
"East Granby School District","=""0400011""",428,465,893
"East Haddam School District","=""0410011""",672,683,1355
"East Hampton School District","=""0420011""",972,1006,1978
"East Hartford School District","=""0430011""",3428,3700,7128
"East Haven School District","=""0440011""",1674,1774,3448
"East Lyme School District","=""0450011""",1534,1550,3084
"East Windsor School District","=""0470011""",644,701,1345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",137,147,284
"Eastford School District","=""0390011""",84,96,180
"Easton School District","=""0460011""",503,600,1103
"Education Connection","=""2420014""",110,107,217
"Ellington School District","=""0480011""",1358,1376,2734
"Elm City College Preparatory School District","=""2890013""",310,275,585
"Enfield School District","=""0490011""",2835,3077,5912
