"Student Counts by District and Gender"
"All Districts"
"2010-11"

"",,"Gender",,
"Essex School District","=""0500011""",301,293,594
"Explorations District","=""2720013""","*","*",80
"Fairfield School District","=""0510011""",5053,5154,10207
"Farmington School District","=""0520011""",1972,2179,4151
"Franklin School District","=""0530011""",104,120,224
"Glastonbury School District","=""0540011""",3442,3399,6841
"Granby School District","=""0560011""",1094,1159,2253
"Greenwich School District","=""0570011""",4279,4594,8873
"Griswold School District","=""0580011""",976,1037,2013
"Groton School District","=""0590011""",2426,2571,4997
"Guilford School District","=""0600011""",1817,1885,3702
"Hamden School District","=""0620011""",2909,3135,6044
"Hampton School District","=""0630011""",50,90,140
"Hartford School District","=""0640011""",10336,11029,21365
"Hartland School District","=""0650011""",103,122,225
"Hebron School District","=""0670011""",543,593,1136
"Highville Charter School District","=""2860013""",162,138,300
"Integrated Day Charter School District","=""2640013""",167,164,331
"Interdistrict School for Arts and Comm District","=""2650013""",97,85,182
"Jumoke Academy District","=""2610013""",237,195,432
"Kent School District","=""0680011""",129,158,287
"Killingly School District","=""0690011""",1321,1390,2711
"Learn","=""2450014""",642,653,1295
"Lebanon School District","=""0710011""",716,696,1412
"Ledyard School District","=""0720011""",1314,1329,2643
"Lisbon School District","=""0730011""",253,282,535
"Litchfield School District","=""0740011""",580,596,1176
"Madison School District","=""0760011""",1778,1852,3630
"Manchester School District","=""0770011""",3274,3588,6862
"Mansfield School District","=""0780011""",626,705,1331
"Marlborough School District","=""0790011""",340,335,675
"Meriden School District","=""0800011""",4055,4351,8406
"Middletown School District","=""0830011""",2525,2726,5251
"Milford School District","=""0840011""",3384,3604,6988
"Monroe School District","=""0850011""",1824,1937,3761
"Montville School District","=""0860011""",1297,1373,2670
"Naugatuck School District","=""0880011""",2243,2431,4674
"New Beginnings Inc., Family Academy District","=""2800013""",204,156,360
"New Britain School District","=""0890011""",4857,5365,10222
"New Canaan School District","=""0900011""",2059,2084,4143
"New Fairfield School District","=""0910011""",1396,1524,2920
"New Hartford School District","=""0920011""",312,298,610
"New Haven School District","=""0930011""",10027,10167,20194
"New London School District","=""0950011""",1417,1689,3106
"New Milford School District","=""0960011""",2292,2481,4773
"Newington School District","=""0940011""",2149,2298,4447
"Newtown School District","=""0970011""",2642,2822,5464
"Norfolk School District","=""0980011""",71,70,141
"North Branford School District","=""0990011""",1159,1134,2293
"North Canaan School District","=""1000011""",164,154,318
"North Haven School District","=""1010011""",1771,1853,3624
"North Stonington School District","=""1020011""",368,428,796
"Norwalk School District","=""1030011""",5420,5723,11143
"Norwich Free Academy District","=""9010022""",1259,1122,2381
"Norwich School District","=""1040011""",1848,2029,3877
"Odyssey Community School District","=""2630013""",90,91,181
"Old Saybrook School District","=""1060011""",797,780,1577
"Orange School District","=""1070011""",645,639,1284
"Oxford School District","=""1080011""",1103,1102,2205
"Park City Prep Charter School District","=""2830013""",128,122,250
"Plainfield School District","=""1090011""",1299,1346,2645
"Plainville School District","=""1100011""",1205,1281,2486
"Plymouth School District","=""1110011""",817,928,1745
"Pomfret School District","=""1120011""",261,257,518
"Portland School District","=""1130011""",697,711,1408
"Preston School District","=""1140011""",204,234,438
"Putnam School District","=""1160011""",597,704,1301
"Redding School District","=""1170011""",621,625,1246
"Regional School District 01","=""2010012""",250,256,506
"Regional School District 04","=""2040012""",492,491,983
"Regional School District 05","=""2050012""",1176,1319,2495
"Regional School District 06","=""2060012""",547,506,1053
"Regional School District 07","=""2070012""",593,586,1179
"Regional School District 08","=""2080012""",834,946,1780
"Regional School District 09","=""2090012""",520,465,985
"Regional School District 10","=""2100012""",1330,1443,2773
"Regional School District 11","=""2110012""",137,145,282
"Regional School District 12","=""2120012""",433,500,933
"Regional School District 13","=""2130012""",1000,1052,2052
"Regional School District 14","=""2140012""",1084,1020,2104
"Regional School District 15","=""2150012""",2122,2318,4440
"Regional School District 16","=""2160012""",1275,1271,2546
"Regional School District 17","=""2170012""",1221,1264,2485
"Regional School District 18","=""2180012""",745,754,1499
"Regional School District 19","=""2190012""",609,588,1197
"Ridgefield School District","=""1180011""",2622,2815,5437
"Rocky Hill School District","=""1190011""",1279,1314,2593
"Salem School District","=""1210011""",223,240,463
"Salisbury School District","=""1220011""",152,158,310
"Scotland School District","=""1230011""",81,62,143
"Seymour School District","=""1240011""",1174,1250,2424
"Sharon School District","=""1250011""",102,95,197
"Shelton School District","=""1260011""",2589,2716,5305
"Sherman School District","=""1270011""",198,211,409
"Side By Side Charter School District","=""2700013""",110,123,233
"Simsbury School District","=""1280011""",2264,2517,4781
"Somers School District","=""1290011""",788,852,1640
"South Windsor School District","=""1320011""",2173,2426,4599
"Southington School District","=""1310011""",3351,3481,6832
"Sprague School District","=""1330011""",177,196,373
"Stafford School District","=""1340011""",939,926,1865
"Stamford Academy District","=""2820013""",54,83,137
"Stamford School District","=""1350011""",7493,7897,15390
"Sterling School District","=""1360011""",227,259,486
"Stonington School District","=""1370011""",1213,1302,2515
"Stratford School District","=""1380011""",3640,3698,7338
"Suffield School District","=""1390011""",1274,1246,2520
"The Bridge Academy District","=""2690013""",138,133,271
"The Gilbert School District","=""9020022""",178,147,325
"Thomaston School District","=""1400011""",546,583,1129
"Thompson School District","=""1410011""",624,653,1277
"Tolland School District","=""1420011""",1485,1589,3074
"Torrington School District","=""1430011""",2140,2480,4620
"Trailblazers Academy District","=""2780013""",69,93,162
"Trumbull School District","=""1440011""",3468,3524,6992
"Unified School District #1","=""3360015""","*","*",816
"Unified School District #2","=""3470015""",67,238,305
"Union School District","=""1450011""",48,34,82
"Vernon School District","=""1460011""",1771,1844,3615
"Voluntown School District","=""1470011""",165,153,318
"Wallingford School District","=""1480011""",3366,3234,6600
"Waterbury School District","=""1510011""",8857,9331,18188
"Waterford School District","=""1520011""",1350,1479,2829
"Watertown School District","=""1530011""",1574,1613,3187
"West Hartford School District","=""1550011""",5043,5226,10269
"West Haven School District","=""1560011""",3042,3224,6266
"Westbrook School District","=""1540011""",448,502,950
"Weston School District","=""1570011""",1248,1293,2541
"Westport School District","=""1580011""",2820,2980,5800
"Wethersfield School District","=""1590011""",1872,1947,3819
"Willington School District","=""1600011""",248,266,514
"Wilton School District","=""1610011""",2110,2230,4340
"Winchester School District","=""1620011""",423,541,964
"Windham School District","=""1630011""",1603,1794,3397
"Windsor Locks School District","=""1650011""",870,929,1799
"Windsor School District","=""1640011""",1762,1890,3652
"Wolcott School District","=""1660011""",1339,1413,2752
"Woodbridge School District","=""1670011""",348,375,723
"Woodstock Academy District","=""9030022""",575,521,1096
"Woodstock School District","=""1690011""",444,488,932
"Total","=""""",272989,291510,564499

