"Student Counts by District and Gender"
"All Districts"
"2008-09"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",115,146,261
"Amistad Academy District","=""2790013""",312,329,641
"Andover School District","=""0010011""",148,186,334
"Ansonia School District","=""0020011""",1292,1430,2722
"Area Cooperative Educational Services","=""2440014""",880,1218,2098
"Ashford School District","=""0030011""",224,264,488
"Avon School District","=""0040011""",1751,1818,3569
"Barkhamsted School District","=""0050011""",154,208,362
"Berlin School District","=""0070011""",1524,1699,3223
"Bethany School District","=""0080011""",263,288,551
"Bethel School District","=""0090011""",1522,1565,3087
"Bloomfield School District","=""0110011""",1017,1164,2181
"Bolton School District","=""0120011""",440,429,869
"Bozrah School District","=""0130011""",137,124,261
"Branford School District","=""0140011""",1741,1774,3515
"Bridgeport Achievement First District","=""2850013""",89,71,160
"Bridgeport School District","=""0150011""",9993,10603,20596
"Bristol School District","=""0170011""",4235,4631,8866
"Brookfield School District","=""0180011""",1460,1492,2952
"Brooklyn School District","=""0190011""",492,495,987
"Canaan School District","=""0210011""",45,40,85
"Canterbury School District","=""0220011""",263,342,605
"Canton School District","=""0230011""",876,885,1761
"Capitol Region Education Council","=""2410014""",1655,1781,3436
"Chaplin School District","=""0240011""",84,94,178
"Charter School for Young Children on Asylum Hill District","=""2870013""",70,66,136
"Cheshire School District","=""0250011""",2437,2595,5032
"Chester School District","=""0260011""",171,148,319
"Clinton School District","=""0270011""",1056,1035,2091
"Colchester School District","=""0280011""",1591,1606,3197
"Colebrook School District","=""0290011""",60,56,116
"Columbia School District","=""0300011""",287,292,579
"Common Ground High School District","=""2680013""",79,76,155
"Connecticut Technical High School System","=""9000016""",3755,6502,10257
"Cooperative Educational Services","=""2430014""",323,431,754
"Cornwall School District","=""0310011""",60,62,122
"Coventry School District","=""0320011""",958,1004,1962
"Cromwell School District","=""0330011""",985,1044,2029
"Danbury School District","=""0340011""",5089,5261,10350
"Darien School District","=""0350011""",2262,2470,4732
"Deep River School District","=""0360011""",177,178,355
"Department of Mental Health and Addiction Services","=""3370015""","*","*",8
"Derby School District","=""0370011""",725,764,1489
"East Granby School District","=""0400011""",454,446,900
"East Haddam School District","=""0410011""",698,739,1437
"East Hampton School District","=""0420011""",1023,1041,2064
"East Hartford School District","=""0430011""",3458,3806,7264
"East Haven School District","=""0440011""",1732,1867,3599
"East Lyme School District","=""0450011""",1576,1593,3169
"East Windsor School District","=""0470011""",706,746,1452
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",73,74,147
"Eastford School District","=""0390011""",87,100,187
"Easton School District","=""0460011""",542,616,1158
"Education Connection","=""2420014""",85,109,194
"Ellington School District","=""0480011""",1315,1330,2645
"Elm City College Preparatory School","=""2810013""",258,251,509
"Enfield School District","=""0490011""",3084,3230,6314
"Essex School District","=""0500011""",288,306,594
"Explorations District","=""2720013""","*","*",85
"Fairfield School District","=""0510011""",4940,5035,9975
"Farmington School District","=""0520011""",2013,2193,4206
"Franklin School District","=""0530011""",103,123,226
"Glastonbury School District","=""0540011""",3444,3439,6883
"Granby School District","=""0560011""",1086,1195,2281
"Greenwich School District","=""0570011""",4246,4647,8893
"Griswold School District","=""0580011""",1045,1078,2123
"Groton School District","=""0590011""",2604,2568,5172
"Guilford School District","=""0600011""",1886,1910,3796
"Hamden School District","=""0620011""",2896,3222,6118
"Hampton School District","=""0630011""",62,87,149
"Hartford School District","=""0640011""",10690,11266,21956
"Hartland School District","=""0650011""",111,128,239
"Hebron School District","=""0670011""",545,628,1173
"Highville Charter School District","=""2860013""",164,136,300
"Integrated Day Charter School District","=""2640013""",152,178,330
"Interdistrict School for Arts and Comm District","=""2650013""",87,95,182
"Jumoke Academy District","=""2610013""",228,184,412
"Kent School District","=""0680011""",137,147,284
"Killingly School District","=""0690011""",1330,1394,2724
"Learn","=""2450014""",506,531,1037
"Lebanon School District","=""0710011""",795,752,1547
"Ledyard School District","=""0720011""",1385,1376,2761
"Lisbon School District","=""0730011""",265,299,564
"Litchfield School District","=""0740011""",611,592,1203
"Madison School District","=""0760011""",1847,1893,3740
"Manchester School District","=""0770011""",3307,3629,6936
"Mansfield School District","=""0780011""",612,673,1285
"Marlborough School District","=""0790011""",357,319,676
"Meriden School District","=""0800011""",4184,4535,8719
"Middletown School District","=""0830011""",2523,2666,5189
"Milford School District","=""0840011""",3597,3729,7326
"Monroe School District","=""0850011""",1944,2106,4050
"Montville School District","=""0860011""",1367,1417,2784
"Naugatuck School District","=""0880011""",2288,2544,4832
"New Beginnings Inc., Family Academy District","=""2800013""",193,165,358
"New Britain School District","=""0890011""",5042,5454,10496
"New Canaan School District","=""0900011""",2044,2060,4104
"New Fairfield School District","=""0910011""",1432,1624,3056
"New Hartford School District","=""0920011""",308,312,620
"New Haven School District","=""0930011""",9839,10009,19848
"New London School District","=""0950011""",1421,1684,3105
"New Milford School District","=""0960011""",2406,2516,4922
"Newington School District","=""0940011""",2186,2347,4533
"Newtown School District","=""0970011""",2722,2890,5612
"Norfolk School District","=""0980011""",76,81,157
"North Branford School District","=""0990011""",1195,1206,2401
"North Canaan School District","=""1000011""",180,158,338
"North Haven School District","=""1010011""",1900,1936,3836
"North Stonington School District","=""1020011""",364,430,794
"Norwalk School District","=""1030011""",5234,5608,10842
"Norwich Free Academy District","=""9010022""",1286,1202,2488
"Norwich School District","=""1040011""",1923,2081,4004
"Odyssey Community School District","=""2630013""",95,83,178
"Old Saybrook School District","=""1060011""",814,814,1628
"Orange School District","=""1070011""",655,665,1320
"Oxford School District","=""1080011""",983,1044,2027
"Park City Prep Charter School District","=""2830013""",110,114,224
"Plainfield School District","=""1090011""",1328,1392,2720
"Plainville School District","=""1100011""",1238,1304,2542
"Plymouth School District","=""1110011""",854,1010,1864
"Pomfret School District","=""1120011""",289,256,545
"Portland School District","=""1130011""",710,722,1432
"Preston School District","=""1140011""",240,254,494
"Putnam School District","=""1160011""",597,657,1254
"Redding School District","=""1170011""",667,637,1304
"Regional School District 01","=""2010012""",281,282,563
"Regional School District 04","=""2040012""",478,481,959
"Regional School District 05","=""2050012""",1205,1299,2504
"Regional School District 06","=""2060012""",537,547,1084
"Regional School District 07","=""2070012""",640,557,1197
"Regional School District 08","=""2080012""",825,934,1759
"Regional School District 09","=""2090012""",491,476,967
"Regional School District 10","=""2100012""",1375,1487,2862
"Regional School District 11","=""2110012""",157,161,318
"Regional School District 12","=""2120012""",485,529,1014
"Regional School District 13","=""2130012""",1040,1103,2143
"Regional School District 14","=""2140012""",1095,1047,2142
"Regional School District 15","=""2150012""",2181,2378,4559
"Regional School District 16","=""2160012""",1283,1335,2618
"Regional School District 17","=""2170012""",1235,1312,2547
"Regional School District 18","=""2180012""",726,744,1470
"Regional School District 19","=""2190012""",597,584,1181
"Ridgefield School District","=""1180011""",2687,2864,5551
"Rocky Hill School District","=""1190011""",1296,1329,2625
"Salem School District","=""1210011""",253,270,523
"Salisbury School District","=""1220011""",153,166,319
"Scotland School District","=""1230011""",96,94,190
"Seymour School District","=""1240011""",1269,1313,2582
"Sharon School District","=""1250011""",100,96,196
"Shelton School District","=""1260011""",2695,2875,5570
"Sherman School District","=""1270011""",224,236,460
"Side By Side Charter School District","=""2700013""",112,117,229
"Simsbury School District","=""1280011""",2335,2615,4950
"Somers School District","=""1290011""",835,894,1729
"South Windsor School District","=""1320011""",2323,2516,4839
"Southington School District","=""1310011""",3373,3493,6866
"Sprague School District","=""1330011""",174,181,355
"Stafford School District","=""1340011""",947,971,1918
"Stamford Academy District","=""2820013""",49,82,131
"Stamford School District","=""1350011""",7207,7749,14956
"Sterling School District","=""1360011""",236,277,513
"Stonington School District","=""1370011""",1230,1296,2526
"Stratford School District","=""1380011""",3636,3731,7367
"Suffield School District","=""1390011""",1297,1282,2579
"The Bridge Academy District","=""2690013""",152,110,262
"The Gilbert School District","=""9020022""",203,197,400
"Thomaston School District","=""1400011""",603,626,1229
"Thompson School District","=""1410011""",678,728,1406
"Tolland School District","=""1420011""",1529,1630,3159
"Torrington School District","=""1430011""",2218,2540,4758
"Trailblazers Academy District","=""2780013""",53,97,150
"Trumbull School District","=""1440011""",3460,3496,6956
"Unified School District #1","=""3360015""",58,960,1018
"Unified School District #2","=""3470015""",91,245,336
"Union School District","=""1450011""","*","*",79
"Vernon School District","=""1460011""",1778,1828,3606
"Voluntown School District","=""1470011""",169,140,309
"Wallingford School District","=""1480011""",3460,3368,6828
"Waterbury School District","=""1510011""",9013,9424,18437
"Waterford School District","=""1520011""",1411,1489,2900
"Watertown School District","=""1530011""",1660,1686,3346
"West Hartford School District","=""1550011""",4957,5172,10129
"West Haven School District","=""1560011""",3093,3220,6313
"Westbrook School District","=""1540011""",472,498,970
"Weston School District","=""1570011""",1282,1304,2586
"Westport School District","=""1580011""",2850,2932,5782
"Wethersfield School District","=""1590011""",1839,1993,3832
"Willington School District","=""1600011""",276,292,568
"Wilton School District","=""1610011""",2140,2256,4396
"Winchester School District","=""1620011""",439,565,1004
"Windham School District","=""1630011""",1675,1848,3523
"Windsor Locks School District","=""1650011""",876,982,1858
"Windsor School District","=""1640011""",1916,2088,4004
"Wolcott School District","=""1660011""",1410,1455,2865
"Woodbridge School District","=""1670011""",359,397,756
"Woodstock Academy District","=""9030022""",584,600,1184
"Woodstock School District","=""1690011""",445,485,930
"Total","=""""",276266,294780,571046

