"Student Counts by District and Gender"
"All Districts"
"Trend"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",2744,3040,5784
"Amistad Academy District","=""2790013""",3729,3733,7462
"Andover School District","=""0010011""",1243,1561,2804
"Ansonia School District","=""0020011""",10890,12026,22916
"Area Cooperative Educational Services","=""2440014""",7442,10528,17970
"Ashford School District","=""0030011""",1956,2156,4112
"Avon School District","=""0040011""",15517,15769,31286
"Barkhamsted School District","=""0050011""",1355,1721,3076
"Berlin School District","=""0070011""",12913,14646,27559
"Bethany School District","=""0080011""",2053,2289,4342
"Bethel School District","=""0090011""",13089,14036,27125
"Bloomfield School District","=""0110011""",9368,10130,19498
"Bolton School District","=""0120011""",3977,3890,7867
"Booker T. Washington Academy District","=""2950013""",119,152,271
"Bozrah School District","=""0130011""",1113,1047,2160
"Branford School District","=""0140011""",14719,15331,30050
"Brass City Charter School District","=""2900013""",265,186,451
"Bridgeport Achievement First District","=""2850013""",2490,2475,4965
"Bridgeport School District","=""0150011""",89549,96838,186387
"Bristol School District","=""0170011""",36892,39932,76824
"Brookfield School District","=""0180011""",12646,12861,25507
"Brooklyn School District","=""0190011""",4149,4401,8550
"Canaan School District","=""0210011""",406,354,760
"Canterbury School District","=""0220011""",2085,2642,4727
"Canton School District","=""0230011""",7720,7815,15535
"Capital Preparatory Harbor School Inc. District","=""2970013""",103,146,249
"Capitol Region Education Council","=""2410014""",24505,25831,50336
"Chaplin School District","=""0240011""",790,862,1652
"Charter School for Young Children on Asylum Hill District","=""2870013""",292,254,546
"Cheshire School District","=""0250011""",21003,22036,43039
"Chester School District","=""0260011""",1310,1094,2404
"Clinton School District","=""0270011""",8857,9103,17960
"Colchester School District","=""0280011""",13210,13463,26673
"Colebrook School District","=""0290011""",468,479,947
"Columbia School District","=""0300011""",2355,2349,4704
"Common Ground High School District","=""2680013""",712,798,1510
"Connecticut Technical High School System","=""9000016""",36039,58808,94847
"Cooperative Educational Services","=""2430014""",2943,4242,7185
"Cornwall School District","=""0310011""",445,540,985
"Coventry School District","=""0320011""",8030,8221,16251
"Cromwell School District","=""0330011""",8705,9358,18063
"Danbury School District","=""0340011""",47066,49306,96372
"Darien School District","=""0350011""",20958,22540,43498
"Deep River School District","=""0360011""",1547,1566,3113
"Department of Mental Health and Addiction Services","=""3370015""",29,26,55
"Derby School District","=""0370011""",6420,6834,13254
"East Granby School District","=""0400011""",3860,4104,7964
"East Haddam School District","=""0410011""",5711,5878,11589
"East Hampton School District","=""0420011""",8726,8892,17618
"East Hartford School District","=""0430011""",30881,33594,64475
"East Haven School District","=""0440011""",14542,15477,30019
"East Lyme School District","=""0450011""",13430,13628,27058
"East Windsor School District","=""0470011""",5656,6065,11721
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",1317,1213,2530
"Eastford School District","=""0390011""",701,796,1497
"Easton School District","=""0460011""",4406,5047,9453
"Education Connection","=""2420014""",965,1001,1966
"Ellington School District","=""0480011""",11957,12140,24097
"Elm City College Preparatory School","=""2810013""",497,488,985
"Elm City College Preparatory School District","=""2890013""",2303,1995,4298
"Elm City Montessori School District","=""2910013""",84,99,183
"Enfield School District","=""0490011""",24978,26481,51459
"Essex School District","=""0500011""",2331,2474,4805
"Explorations District","=""2720013""",418,323,741
"Fairfield School District","=""0510011""",45003,46364,91367
"Farmington School District","=""0520011""",17706,19321,37027
"Franklin School District","=""0530011""",859,986,1845
"Glastonbury School District","=""0540011""",29895,29511,59406
"Granby School District","=""0560011""",9407,10039,19446
"Great Oaks Charter School District","=""2940013""",179,174,353
"Greenwich School District","=""0570011""",38494,41266,79760
"Griswold School District","=""0580011""",8853,9215,18068
"Groton School District","=""0590011""",21587,22430,44017
"Guilford School District","=""0600011""",16021,16719,32740
"Hamden School District","=""0620011""",25316,27925,53241
"Hampton School District","=""0630011""",458,699,1157
"Hartford School District","=""0640011""",94682,101368,196050
"Hartland School District","=""0650011""",902,1065,1967
"Hebron School District","=""0670011""",4277,4782,9059
"Highville Charter School District","=""2860013""",1609,1475,3084
"Integrated Day Charter School District","=""2640013""",1445,1528,2973
"Interdistrict School for Arts and Comm District","=""2650013""",987,901,1888
"Jumoke Academy District","=""2610013""",2685,2193,4878
"Kent School District","=""0680011""",1126,1300,2426
"Killingly School District","=""0690011""",11819,12322,24141
"Learn","=""2450014""",7336,7216,14552
"Lebanon School District","=""0710011""",5980,5814,11794
"Ledyard School District","=""0720011""",11822,11954,23776
"Lisbon School District","=""0730011""",2058,2315,4373
"Litchfield School District","=""0740011""",4897,5023,9920
"Madison School District","=""0760011""",15165,16046,31211
"Manchester School District","=""0770011""",28366,30781,59147
"Mansfield School District","=""0780011""",5561,6029,11590
"Marlborough School District","=""0790011""",2840,2915,5755
"Meriden School District","=""0800011""",36162,39212,75374
"Middletown School District","=""0830011""",21855,23307,45162
"Milford School District","=""0840011""",29585,31646,61231
"Monroe School District","=""0850011""",15903,16968,32871
"Montville School District","=""0860011""",11248,11835,23083
"Naugatuck School District","=""0880011""",19487,21786,41273
"New Beginnings Inc., Family Academy District","=""2800013""",1867,1707,3574
"New Britain School District","=""0890011""",44002,48651,92653
"New Canaan School District","=""0900011""",18503,18993,37496
"New Fairfield School District","=""0910011""",12121,13506,25627
"New Hartford School District","=""0920011""",2627,2524,5151
"New Haven School District","=""0930011""",92390,94330,186720
"New London School District","=""0950011""",12926,15092,28018
"New Milford School District","=""0960011""",20254,21777,42031
"Newington School District","=""0940011""",19160,20030,39190
"Newtown School District","=""0970011""",22701,24298,46999
"Norfolk School District","=""0980011""",586,618,1204
"North Branford School District","=""0990011""",9763,9864,19627
"North Canaan School District","=""1000011""",1449,1352,2801
"North Haven School District","=""1010011""",15687,16401,32088
"North Stonington School District","=""1020011""",3245,3707,6952
"Norwalk School District","=""1030011""",48326,51570,99896
"Norwich Free Academy District","=""9010022""",11152,10089,21241
"Norwich School District","=""1040011""",16839,18083,34922
"Odyssey Community School District","=""2630013""",1154,1181,2335
"Old Saybrook School District","=""1060011""",6926,6792,13718
"Orange School District","=""1070011""",5621,5733,11354
"Oxford School District","=""1080011""",9190,9322,18512
"Park City Prep Charter School District","=""2830013""",1194,1216,2410
"Path Academy District","=""2930013""",127,148,275
"Plainfield School District","=""1090011""",11369,11760,23129
"Plainville School District","=""1100011""",10731,11439,22170
"Plymouth School District","=""1110011""",7112,8148,15260
"Pomfret School District","=""1120011""",2177,2157,4334
"Portland School District","=""1130011""",6231,6311,12542
"Preston School District","=""1140011""",2011,1991,4002
"Putnam School District","=""1160011""",5389,5973,11362
"Redding School District","=""1170011""",5167,5319,10486
"Regional School District 01","=""2010012""",2190,2140,4330
"Regional School District 04","=""2040012""",4420,4306,8726
"Regional School District 05","=""2050012""",10526,11237,21763
"Regional School District 06","=""2060012""",4799,4576,9375
"Regional School District 07","=""2070012""",5282,5045,10327
"Regional School District 08","=""2080012""",7319,8212,15531
"Regional School District 09","=""2090012""",4628,4505,9133
"Regional School District 10","=""2100012""",11522,12593,24115
"Regional School District 11","=""2110012""",1252,1363,2615
"Regional School District 12","=""2120012""",3841,4157,7998
"Regional School District 13","=""2130012""",8683,9181,17864
"Regional School District 14","=""2140012""",9409,8618,18027
"Regional School District 15","=""2150012""",18222,19915,38137
"Regional School District 16","=""2160012""",11148,11168,22316
"Regional School District 17","=""2170012""",10382,11030,21412
"Regional School District 18","=""2180012""",6396,6611,13007
"Regional School District 19","=""2190012""",5565,5300,10865
"Ridgefield School District","=""1180011""",23408,24794,48202
"Rocky Hill School District","=""1190011""",11407,11613,23020
"Salem School District","=""1210011""",1947,2130,4077
"Salisbury School District","=""1220011""",1330,1365,2695
"Scotland School District","=""1230011""",704,620,1324
"Seymour School District","=""1240011""",10555,10923,21478
"Sharon School District","=""1250011""",845,865,1710
"Shelton School District","=""1260011""",23009,24245,47254
"Sherman School District","=""1270011""",1761,1854,3615
"Side By Side Charter School District","=""2700013""",1022,1073,2095
"Simsbury School District","=""1280011""",19820,21887,41707
"Somers School District","=""1290011""",7001,7400,14401
"South Windsor School District","=""1320011""",19364,21117,40481
