"Student Counts by District and Gender"
"All Districts"
"Trend"

"",,"Gender",,
"Southington School District","=""1310011""",29887,30995,60882
"Sprague School District","=""1330011""",1540,1742,3282
"Stafford School District","=""1340011""",7885,7990,15875
"Stamford Academy District","=""2820013""",514,730,1244
"Stamford Charter School for Excellence District","=""2960013""",74,90,164
"Stamford School District","=""1350011""",67663,72162,139825
"Sterling School District","=""1360011""",2004,2409,4413
"Stonington School District","=""1370011""",10466,11222,21688
"Stratford School District","=""1380011""",32060,33182,65242
"Suffield School District","=""1390011""",11331,11076,22407
"The Bridge Academy District","=""2690013""",1303,1136,2439
"The Gilbert School District","=""9020022""",1955,2248,4203
"Thomaston School District","=""1400011""",4742,4909,9651
"Thompson School District","=""1410011""",5303,5681,10984
"Tolland School District","=""1420011""",12884,13502,26386
"Torrington School District","=""1430011""",19030,21895,40925
"Trailblazers Academy District","=""2780013""",570,801,1371
"Trumbull School District","=""1440011""",30852,31176,62028
"Unified School District #1","=""3360015""",337,6406,6743
"Unified School District #2","=""3470015""",641,1810,2451
"Union School District","=""1450011""",384,312,696
"Vernon School District","=""1460011""",15430,16117,31547
"Voluntown School District","=""1470011""",1445,1374,2819
"Wallingford School District","=""1480011""",29307,28637,57944
"Waterbury School District","=""1510011""",81049,85343,166392
"Waterford School District","=""1520011""",11889,12689,24578
"Watertown School District","=""1530011""",13578,14367,27945
"West Hartford School District","=""1550011""",44230,46145,90375
"West Haven School District","=""1560011""",26981,28393,55374
"Westbrook School District","=""1540011""",3878,4236,8114
"Weston School District","=""1570011""",10840,11610,22450
"Westport School District","=""1580011""",25323,26544,51867
"Wethersfield School District","=""1590011""",16548,17213,33761
"Willington School District","=""1600011""",2172,2354,4526
"Wilton School District","=""1610011""",19043,19827,38870
"Winchester School District","=""1620011""",3208,4062,7270
"Windham School District","=""1630011""",14264,16077,30341
"Windsor Locks School District","=""1650011""",7618,8210,15828
"Windsor School District","=""1640011""",15438,16743,32181
"Wolcott School District","=""1660011""",11555,12199,23754
"Woodbridge School District","=""1670011""",3342,3483,6825
"Woodstock Academy District","=""9030022""",5040,4766,9806
"Woodstock School District","=""1690011""",3982,4184,8166
"Total","=""""",2431893,2597512,5029405

