"Student Counts by District and Gender"
"All Districts"
"2009-10"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",199,241,440
"Amistad Academy District","=""2790013""",378,366,744
"Andover School District","=""0010011""",143,193,336
"Ansonia School District","=""0020011""",1307,1431,2738
"Area Cooperative Educational Services","=""2440014""",871,1205,2076
"Ashford School District","=""0030011""",219,259,478
"Avon School District","=""0040011""",1781,1817,3598
"Barkhamsted School District","=""0050011""",151,216,367
"Berlin School District","=""0070011""",1491,1678,3169
"Bethany School District","=""0080011""",239,277,516
"Bethel School District","=""0090011""",1492,1561,3053
"Bloomfield School District","=""0110011""",1080,1218,2298
"Bolton School District","=""0120011""",462,426,888
"Bozrah School District","=""0130011""",139,119,258
"Branford School District","=""0140011""",1760,1774,3534
"Bridgeport Achievement First District","=""2850013""",125,113,238
"Bridgeport School District","=""0150011""",9808,10499,20307
"Bristol School District","=""0170011""",4190,4563,8753
"Brookfield School District","=""0180011""",1428,1478,2906
"Brooklyn School District","=""0190011""",488,484,972
"Canaan School District","=""0210011""",53,42,95
"Canterbury School District","=""0220011""",249,307,556
"Canton School District","=""0230011""",863,912,1775
"Capitol Region Education Council","=""2410014""",1872,2076,3948
"Chaplin School District","=""0240011""",83,90,173
"Charter School for Young Children on Asylum Hill District","=""2870013""",104,81,185
"Cheshire School District","=""0250011""",2424,2547,4971
"Chester School District","=""0260011""",163,136,299
"Clinton School District","=""0270011""",1010,1025,2035
"Colchester School District","=""0280011""",1583,1645,3228
"Colebrook School District","=""0290011""",60,59,119
"Columbia School District","=""0300011""",276,284,560
"Common Ground High School District","=""2680013""",82,78,160
"Connecticut Technical High School System","=""9000016""",3834,6635,10469
"Cooperative Educational Services","=""2430014""",325,453,778
"Cornwall School District","=""0310011""",60,62,122
"Coventry School District","=""0320011""",929,991,1920
"Cromwell School District","=""0330011""",1002,1066,2068
"Danbury School District","=""0340011""",5130,5353,10483
"Darien School District","=""0350011""",2284,2507,4791
"Deep River School District","=""0360011""",173,178,351
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",708,766,1474
"East Granby School District","=""0400011""",444,463,907
"East Haddam School District","=""0410011""",687,718,1405
"East Hampton School District","=""0420011""",1002,1032,2034
"East Hartford School District","=""0430011""",3491,3789,7280
"East Haven School District","=""0440011""",1724,1822,3546
"East Lyme School District","=""0450011""",1546,1567,3113
"East Windsor School District","=""0470011""",665,732,1397
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",111,97,208
"Eastford School District","=""0390011""",75,96,171
"Easton School District","=""0460011""",525,589,1114
"Education Connection","=""2420014""",99,101,200
"Ellington School District","=""0480011""",1346,1329,2675
"Elm City College Preparatory School District","=""2890013""",280,267,547
"Enfield School District","=""0490011""",2975,3144,6119
"Essex School District","=""0500011""",303,290,593
"Explorations District","=""2720013""","*","*",80
"Fairfield School District","=""0510011""",5008,5126,10134
"Farmington School District","=""0520011""",1992,2177,4169
"Franklin School District","=""0530011""",105,120,225
"Glastonbury School District","=""0540011""",3414,3432,6846
"Granby School District","=""0560011""",1103,1191,2294
"Greenwich School District","=""0570011""",4267,4596,8863
"Griswold School District","=""0580011""",1009,1059,2068
"Groton School District","=""0590011""",2492,2571,5063
"Guilford School District","=""0600011""",1862,1874,3736
"Hamden School District","=""0620011""",2830,3167,5997
"Hampton School District","=""0630011""",55,88,143
"Hartford School District","=""0640011""",10526,11026,21552
"Hartland School District","=""0650011""",110,119,229
"Hebron School District","=""0670011""",554,618,1172
"Highville Charter School District","=""2860013""",157,146,303
"Integrated Day Charter School District","=""2640013""",160,170,330
"Interdistrict School for Arts and Comm District","=""2650013""",96,86,182
"Jumoke Academy District","=""2610013""",241,193,434
"Kent School District","=""0680011""",131,151,282
"Killingly School District","=""0690011""",1313,1395,2708
"Learn","=""2450014""",544,577,1121
"Lebanon School District","=""0710011""",757,700,1457
"Ledyard School District","=""0720011""",1351,1331,2682
