"Student Counts by District and Gender"
"All Districts"
"2009-10"

"",,"Gender",,
"Lisbon School District","=""0730011""",268,301,569
"Litchfield School District","=""0740011""",599,608,1207
"Madison School District","=""0760011""",1810,1885,3695
"Manchester School District","=""0770011""",3302,3639,6941
"Mansfield School District","=""0780011""",604,671,1275
"Marlborough School District","=""0790011""",345,324,669
"Meriden School District","=""0800011""",4052,4411,8463
"Middletown School District","=""0830011""",2534,2705,5239
"Milford School District","=""0840011""",3476,3671,7147
"Monroe School District","=""0850011""",1868,2031,3899
"Montville School District","=""0860011""",1312,1386,2698
"Naugatuck School District","=""0880011""",2350,2543,4893
"New Beginnings Inc., Family Academy District","=""2800013""",195,165,360
"New Britain School District","=""0890011""",4903,5415,10318
"New Canaan School District","=""0900011""",2049,2042,4091
"New Fairfield School District","=""0910011""",1429,1602,3031
"New Hartford School District","=""0920011""",317,315,632
"New Haven School District","=""0930011""",9922,10025,19947
"New London School District","=""0950011""",1384,1636,3020
"New Milford School District","=""0960011""",2383,2500,4883
"Newington School District","=""0940011""",2179,2313,4492
"Newtown School District","=""0970011""",2659,2851,5510
"Norfolk School District","=""0980011""",71,73,144
"North Branford School District","=""0990011""",1173,1169,2342
"North Canaan School District","=""1000011""",171,157,328
"North Haven School District","=""1010011""",1826,1886,3712
"North Stonington School District","=""1020011""",359,433,792
"Norwalk School District","=""1030011""",5333,5629,10962
"Norwich Free Academy District","=""9010022""",1269,1152,2421
"Norwich School District","=""1040011""",1930,2016,3946
"Odyssey Community School District","=""2630013""",98,82,180
"Old Saybrook School District","=""1060011""",798,801,1599
"Orange School District","=""1070011""",656,645,1301
"Oxford School District","=""1080011""",1057,1106,2163
"Park City Prep Charter School District","=""2830013""",116,126,242
"Plainfield School District","=""1090011""",1342,1395,2737
"Plainville School District","=""1100011""",1256,1298,2554
"Plymouth School District","=""1110011""",842,957,1799
"Pomfret School District","=""1120011""",276,263,539
"Portland School District","=""1130011""",715,724,1439
"Preston School District","=""1140011""",224,214,438
"Putnam School District","=""1160011""",569,670,1239
"Redding School District","=""1170011""",635,634,1269
"Regional School District 01","=""2010012""",252,264,516
"Regional School District 04","=""2040012""",478,503,981
"Regional School District 05","=""2050012""",1191,1307,2498
"Regional School District 06","=""2060012""",561,515,1076
"Regional School District 07","=""2070012""",601,571,1172
"Regional School District 08","=""2080012""",797,946,1743
"Regional School District 09","=""2090012""",504,469,973
"Regional School District 10","=""2100012""",1351,1480,2831
"Regional School District 11","=""2110012""",148,152,300
"Regional School District 12","=""2120012""",456,517,973
"Regional School District 13","=""2130012""",1014,1080,2094
"Regional School District 14","=""2140012""",1094,1035,2129
"Regional School District 15","=""2150012""",2174,2384,4558
"Regional School District 16","=""2160012""",1287,1307,2594
"Regional School District 17","=""2170012""",1205,1298,2503
"Regional School District 18","=""2180012""",736,754,1490
"Regional School District 19","=""2190012""",612,589,1201
"Ridgefield School District","=""1180011""",2621,2835,5456
"Rocky Hill School District","=""1190011""",1316,1333,2649
"Salem School District","=""1210011""",237,257,494
"Salisbury School District","=""1220011""",156,155,311
"Scotland School District","=""1230011""",78,83,161
"Seymour School District","=""1240011""",1206,1236,2442
"Sharon School District","=""1250011""",103,102,205
"Shelton School District","=""1260011""",2685,2795,5480
"Sherman School District","=""1270011""",216,230,446
"Side By Side Charter School District","=""2700013""",115,117,232
"Simsbury School District","=""1280011""",2294,2592,4886
"Somers School District","=""1290011""",798,862,1660
"South Windsor School District","=""1320011""",2225,2471,4696
"Southington School District","=""1310011""",3352,3487,6839
"Sprague School District","=""1330011""",165,187,352
"Stafford School District","=""1340011""",913,941,1854
"Stamford Academy District","=""2820013""",59,72,131
"Stamford School District","=""1350011""",7299,7835,15134
"Sterling School District","=""1360011""",236,272,508
"Stonington School District","=""1370011""",1243,1295,2538
"Stratford School District","=""1380011""",3653,3728,7381
"Suffield School District","=""1390011""",1289,1281,2570
"The Bridge Academy District","=""2690013""",148,115,263
"The Gilbert School District","=""9020022""",210,171,381
"Thomaston School District","=""1400011""",572,606,1178
"Thompson School District","=""1410011""",653,689,1342
"Tolland School District","=""1420011""",1545,1623,3168
"Torrington School District","=""1430011""",2204,2542,4746
"Trailblazers Academy District","=""2780013""",63,102,165
"Trumbull School District","=""1440011""",3494,3545,7039
"Unified School District #1","=""3360015""",62,928,990
"Unified School District #2","=""3470015""",96,234,330
"Union School District","=""1450011""","*",34,"*"
"Vernon School District","=""1460011""",1841,1860,3701
"Voluntown School District","=""1470011""",156,147,303
"Wallingford School District","=""1480011""",3399,3302,6701
"Waterbury School District","=""1510011""",8891,9369,18260
"Waterford School District","=""1520011""",1381,1509,2890
"Watertown School District","=""1530011""",1608,1642,3250
"West Hartford School District","=""1550011""",5039,5198,10237
"West Haven School District","=""1560011""",3098,3205,6303
"Westbrook School District","=""1540011""",456,520,976
"Weston School District","=""1570011""",1265,1307,2572
"Westport School District","=""1580011""",2806,2932,5738
"Wethersfield School District","=""1590011""",1842,1991,3833
"Willington School District","=""1600011""",263,282,545
"Wilton School District","=""1610011""",2115,2243,4358
"Winchester School District","=""1620011""",425,547,972
"Windham School District","=""1630011""",1647,1846,3493
"Windsor Locks School District","=""1650011""",864,951,1815
"Windsor School District","=""1640011""",1840,1957,3797
"Wolcott School District","=""1660011""",1346,1417,2763
"Woodbridge School District","=""1670011""",361,372,733
"Woodstock Academy District","=""9030022""",609,544,1153
"Woodstock School District","=""1690011""",433,490,923
"Total","=""""",274575,293217,567792

