"Student Counts by District and Gender"
"All Districts"
"Trend"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",3304,3546,6850
"Amistad Academy District","=""2790013""",4271,4248,8519
"Andover School District","=""0010011""",1341,1688,3029
"Ansonia School District","=""0020011""",12004,13276,25280
"Area Cooperative Educational Services","=""2440014""",8267,11650,19917
"Ashford School District","=""0030011""",2154,2365,4519
"Avon School District","=""0040011""",17158,17416,34574
"Barkhamsted School District","=""0050011""",1484,1847,3331
"Berlin School District","=""0070011""",14240,16124,30364
"Bethany School District","=""0080011""",2233,2465,4698
"Bethel School District","=""0090011""",14488,15633,30121
"Bloomfield School District","=""0110011""",10423,11232,21655
"Bolton School District","=""0120011""",4404,4283,8687
"Booker T. Washington Academy District","=""2950013""",222,290,512
"Bozrah School District","=""0130011""",1210,1158,2368
"Branford School District","=""0140011""",16165,16868,33033
"Brass City Charter School District","=""2900013""",389,281,670
"Bridgeport Achievement First District","=""2850013""",3033,2976,6009
"Bridgeport School District","=""0150011""",99631,107978,207609
"Bristol School District","=""0170011""",40784,44113,84897
"Brookfield School District","=""0180011""",13958,14222,28180
"Brooklyn School District","=""0190011""",4567,4846,9413
"Canaan School District","=""0210011""",442,391,833
"Canterbury School District","=""0220011""",2289,2909,5198
"Canton School District","=""0230011""",8551,8607,17158
"Capital Preparatory Harbor School Inc. District","=""2970013""",222,281,503
"Capitol Region Education Council","=""2410014""",28676,30250,58926
"Chaplin School District","=""0240011""",864,946,1810
"Charter School for Young Children on Asylum Hill District","=""2870013""",292,254,546
"Cheshire School District","=""0250011""",23114,24283,47397
"Chester School District","=""0260011""",1413,1197,2610
"Clinton School District","=""0270011""",9732,10018,19750
"Colchester School District","=""0280011""",14451,14710,29161
"Colebrook School District","=""0290011""",499,526,1025
"Columbia School District","=""0300011""",2562,2576,5138
"Common Ground High School District","=""2680013""",798,912,1710
"Connecticut Technical High School System","=""9000016""",40370,65033,105403
"Cooperative Educational Services","=""2430014""",3289,4738,8027
"Cornwall School District","=""0310011""",473,584,1057
"Coventry School District","=""0320011""",8836,9040,17876
"Cromwell School District","=""0330011""",9675,10392,20067
"Danbury School District","=""0340011""",52575,55168,107743
"Darien School District","=""0350011""",23300,25026,48326
"Deep River School District","=""0360011""",1679,1719,3398
"Department of Mental Health and Addiction Services","=""3370015""",34,26,60
"Derby School District","=""0370011""",7057,7584,14641
"East Granby School District","=""0400011""",4290,4540,8830
"East Haddam School District","=""0410011""",6214,6407,12621
"East Hampton School District","=""0420011""",9646,9848,19494
"East Hartford School District","=""0430011""",34120,37089,71209
"East Haven School District","=""0440011""",15984,17031,33015
"East Lyme School District","=""0450011""",14763,15077,29840
"East Windsor School District","=""0470011""",6146,6624,12770
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",1534,1409,2943
"Eastford School District","=""0390011""",763,877,1640
"Easton School District","=""0460011""",4844,5491,10335
"EdAdvance","=""2420014""",119,100,219
"Education Connection","=""2420014""",965,1001,1966
"Ellington School District","=""0480011""",13241,13503,26744
"Elm City College Preparatory School","=""2810013""",497,488,985
"Elm City College Preparatory School District","=""2890013""",2686,2338,5024
"Elm City Montessori School District","=""2910013""",151,172,323
"Enfield School District","=""0490011""",27536,29172,56708
"Essex School District","=""0500011""",2509,2667,5176
"Explorations District","=""2720013""",477,356,833
"Fairfield School District","=""0510011""",49891,51503,101394
"Farmington School District","=""0520011""",19674,21431,41105
"Franklin School District","=""0530011""",942,1066,2008
"Glastonbury School District","=""0540011""",32921,32481,65402
"Granby School District","=""0560011""",10343,10983,21326
"Great Oaks Charter School District","=""2940013""",334,343,677
"Greenwich School District","=""0570011""",42799,45932,88731
"Griswold School District","=""0580011""",9776,10140,19916
"Groton School District","=""0590011""",23774,24704,48478
"Guilford School District","=""0600011""",17685,18468,36153
"Hamden School District","=""0620011""",27944,30790,58734
"Hampton School District","=""0630011""",500,762,1262
"Hartford School District","=""0640011""",104743,112198,216941
"Hartland School District","=""0650011""",987,1169,2156
"Hebron School District","=""0670011""",4619,5146,9765
"Highville Charter School District","=""2860013""",1868,1718,3586
"Integrated Day Charter School District","=""2640013""",1611,1692,3303
"Interdistrict School for Arts and Comm District","=""2650013""",1127,1031,2158
"Jumoke Academy District","=""2610013""",3080,2551,5631
"Kent School District","=""0680011""",1238,1423,2661
"Killingly School District","=""0690011""",13101,13590,26691
"Learn","=""2450014""",8582,8391,16973
"Lebanon School District","=""0710011""",6485,6329,12814
"Ledyard School District","=""0720011""",13007,13163,26170
"Lisbon School District","=""0730011""",2274,2500,4774
"Litchfield School District","=""0740011""",5345,5521,10866
"Madison School District","=""0760011""",16561,17591,34152
"Manchester School District","=""0770011""",31416,34021,65437
"Mansfield School District","=""0780011""",6161,6646,12807
"Marlborough School District","=""0790011""",3083,3207,6290
"Meriden School District","=""0800011""",39936,43388,83324
"Middletown School District","=""0830011""",24130,25734,49864
"Milford School District","=""0840011""",32452,34705,67157
"Monroe School District","=""0850011""",17489,18571,36060
"Montville School District","=""0860011""",12331,12962,25293
"Naugatuck School District","=""0880011""",21494,24060,45554
"New Beginnings Inc Family Academy District","=""""",246,253,499
"New Beginnings Inc., Family Academy District","=""2800013""",1867,1707,3574
"New Britain School District","=""0890011""",48789,54008,102797
"New Canaan School District","=""0900011""",20574,21182,41756
"New Fairfield School District","=""0910011""",13262,14759,28021
"New Hartford School District","=""0920011""",2856,2739,5595
"New Haven School District","=""0930011""",103220,105481,208701
"New London School District","=""0950011""",14643,16934,31577
"New Milford School District","=""0960011""",22251,23997,46248
"Newington School District","=""0940011""",21154,22105,43259
"Newtown School District","=""0970011""",24870,26599,51469
"Norfolk School District","=""0980011""",632,674,1306
"North Branford School District","=""0990011""",10671,10798,21469
"North Canaan School District","=""1000011""",1591,1488,3079
"North Haven School District","=""1010011""",17237,18013,35250
"North Stonington School District","=""1020011""",3586,4097,7683
"Norwalk School District","=""1030011""",53836,57558,111394
"Norwich Free Academy District","=""9010022""",12352,11227,23579
"Norwich School District","=""1040011""",18576,19998,38574
"Odyssey Community School District","=""2630013""",1316,1347,2663
"Old Saybrook School District","=""1060011""",7587,7448,15035
"Orange School District","=""1070011""",6174,6347,12521
"Oxford School District","=""1080011""",10174,10290,20464
"Park City Prep Charter School District","=""2830013""",1362,1408,2770
"Path Academy District","=""2930013""",194,238,432
"Plainfield School District","=""1090011""",12504,12917,25421
"Plainville School District","=""1100011""",11870,12666,24536
"Plymouth School District","=""1110011""",7813,8951,16764
"Pomfret School District","=""1120011""",2354,2357,4711
"Portland School District","=""1130011""",6876,7003,13879
"Preston School District","=""1140011""",2235,2197,4432
"Putnam School District","=""1160011""",5991,6559,12550
"Redding School District","=""1170011""",5617,5806,11423
"Regional School District 01","=""2010012""",2399,2357,4756
"Regional School District 04","=""2040012""",4906,4772,9678
"Regional School District 05","=""2050012""",11654,12357,24011
"Regional School District 06","=""2060012""",5312,5038,10350
"Regional School District 07","=""2070012""",5849,5582,11431
"Regional School District 08","=""2080012""",8076,9013,17089
"Regional School District 09","=""2090012""",5079,5024,10103
"Regional School District 10","=""2100012""",12658,13823,26481
"Regional School District 11","=""2110012""",1368,1498,2866
"Regional School District 12","=""2120012""",4202,4506,8708
"Regional School District 13","=""2130012""",9537,10072,19609
"Regional School District 14","=""2140012""",10338,9457,19795
"Regional School District 15","=""2150012""",19962,21904,41866
"Regional School District 16","=""2160012""",12244,12283,24527
"Regional School District 17","=""2170012""",11383,12146,23529
"Regional School District 18","=""2180012""",7053,7262,14315
"Regional School District 19","=""2190012""",6190,5879,12069
"Ridgefield School District","=""1180011""",25875,27311,53186
"Rocky Hill School District","=""1190011""",12717,12924,25641
"Salem School District","=""1210011""",2153,2333,4486
"Salisbury School District","=""1220011""",1473,1502,2975
"Scotland School District","=""1230011""",772,668,1440
"Seymour School District","=""1240011""",11613,12023,23636
"Sharon School District","=""1250011""",924,936,1860
"Shelton School District","=""1260011""",25315,26754,52069
"Sherman School District","=""1270011""",1914,2016,3930
"Side By Side Charter School District","=""2700013""",1148,1183,2331
"Simsbury School District","=""1280011""",21823,24045,45868
"Somers School District","=""1290011""",7701,8131,15832
"South Windsor School District","=""1320011""",21402,23267,44669
"Southington School District","=""1310011""",33126,34338,67464
"Sprague School District","=""1330011""",1690,1931,3621
"Stafford School District","=""1340011""",8632,8769,17401
"Stamford Academy District","=""2820013""",578,814,1392
"Stamford Charter School for Excellence District","=""2960013""",184,197,381
"Stamford School District","=""1350011""",75451,80474,155925
"Sterling School District","=""1360011""",2204,2640,4844
"Stonington School District","=""1370011""",11498,12298,23796
"Stratford School District","=""1380011""",35394,36704,72098
"Suffield School District","=""1390011""",12476,12212,24688
"The Bridge Academy District","=""2690013""",1451,1269,2720
"The Gilbert School District","=""9020022""",2195,2570,4765
"Thomaston School District","=""1400011""",5194,5355,10549
"Thompson School District","=""1410011""",5769,6233,12002
"Tolland School District","=""1420011""",14110,14760,28870
"Torrington School District","=""1430011""",21004,24122,45126
"Trailblazers Academy District","=""2780013""",626,874,1500
"Trumbull School District","=""1440011""",34157,34556,68713
"Unified School District #1","=""3360015""",358,6748,7106
"Unified School District #2","=""3470015""",703,1904,2607
"Union School District","=""1450011""",421,343,764
"Vernon School District","=""1460011""",17014,17757,34771
"Voluntown School District","=""1470011""",1582,1522,3104
"Wallingford School District","=""1480011""",32266,31586,63852
"Waterbury School District","=""1510011""",90299,95094,185393
"Waterford School District","=""1520011""",13132,13981,27113
"Watertown School District","=""1530011""",14878,15849,30727
"West Hartford School District","=""1550011""",49013,51127,100140
"West Haven School District","=""1560011""",29746,31414,61160
"Westbrook School District","=""1540011""",4255,4626,8881
"Weston School District","=""1570011""",11950,12874,24824
"Westport School District","=""1580011""",28059,29431,57490
"Wethersfield School District","=""1590011""",18341,19016,37357
"Willington School District","=""1600011""",2373,2581,4954
"Wilton School District","=""1610011""",21080,21868,42948
"Winchester School District","=""1620011""",3463,4372,7835
"Windham School District","=""1630011""",15836,17842,33678
"Windsor Locks School District","=""1650011""",8403,8997,17400
"Windsor School District","=""1640011""",16974,18419,35393
"Wolcott School District","=""1660011""",12632,13407,26039
"Woodbridge School District","=""1670011""",3719,3886,7605
"Woodstock Academy District","=""9030022""",5591,5280,10871
"Woodstock School District","=""1690011""",4403,4605,9008
"Total","=""""",2692661,2875637,5568298

